Table S1. Feature coverage across the 945 mammal genera included in the BRT models,,
Feature,Coverage,
adult_mass_g,0.99,1
brain_mass_g,0.99,1
adult_body_length_mm,1.00,1
max_longevity_d,0.99,1
female_maturity_d,0.99,1
age_first_reproduction_d,0.99,1
gestation_length_d,0.99,1
litter_size_n,0.99,1
litters_per_year_n,0.99,1
interbirth_interval_d,0.99,1
weaning_age_d,0.99,1
generation_length_d,0.99,1
dispersal_km,0.93,1
dphy_invertebrate,0.99,1
dphy_vertebrate,0.99,1
dphy_plant,0.99,1
det_inv,0.83,1
det_vend,0.83,1
det_vect,0.83,1
det_vfish,0.83,1
det_vunk,0.83,1
det_scav,0.83,1
det_fruit,0.83,1
det_nect,0.83,1
det_seed,0.83,1
det_plantother,0.83,1
det_diet_breadth_n,0.99,1
upper_elevation_m,0.72,1
habitat_breadth_n,0.96,1
hibernation_torpor,0.99,1
fossoriality,0.99,1
freshwater,0.98,1
marine,0.98,1
terrestrial_non.volant,0.98,1
island_dwelling,0.74,1
disected_by_mountains,0.74,1
glaciation,0.74,1
trophic_herbivores,0.99,1
trophic_omnivores,0.99,1
trophic_carnivores,0.99,1
activity_nocturnal,0.99,1
activity_crepuscular,0.99,1
activity_diurnal,0.99,1
forager_marine,0.99,1
forager_ground,0.99,1
forager_scansorial,0.99,1
forager_arboreal,0.99,1
island_end_marine,0.99,1
island_end_mainland,0.99,1
island_end_lgbridge,0.99,1
island_end_isolated,0.99,1
biogeo_afrotropical,1.00,1
biogeo_antarctic,1.00,1
biogeo_australasian,1.00,1
biogeo_indomalayan,1.00,1
biogeo_nearctic,1.00,1
biogeo_neotropical,1.00,1
biogeo_oceanian,1.00,1
biogeo_palearctic,1.00,1
cites,1.00,1
ed_equal,1.00,1
fam_ATELIDAE,1.00,1
fam_BATHYERGIDAE,1.00,1
fam_BOVIDAE,1.00,1
fam_CALLITRICHIDAE,1.00,1
fam_CANIDAE,1.00,1
fam_CAPROMYIDAE,1.00,1
fam_CAVIIDAE,1.00,1
fam_CERCOPITHECIDAE,1.00,1
fam_CERVIDAE,1.00,1
fam_CHEIROGALEIDAE,1.00,1
fam_CRICETIDAE,1.00,1
fam_DELPHINIDAE,1.00,1
fam_DIDELPHIDAE,1.00,1
fam_DIPODIDAE,1.00,1
fam_ECHIMYIDAE,1.00,1
fam_ERINACEIDAE,1.00,1
fam_EUPLERIDAE,1.00,1
fam_FELIDAE,1.00,1
fam_GALAGIDAE,1.00,1
fam_GEOMYIDAE,1.00,1
fam_GLIRIDAE,1.00,1
fam_HERPESTIDAE,1.00,1
fam_HETEROMYIDAE,1.00,1
fam_LEMURIDAE,1.00,1
fam_LEPORIDAE,1.00,1
fam_MURIDAE,1.00,1
fam_MUSTELIDAE,1.00,1
fam_NESOMYIDAE,1.00,1
fam_OCTODONTIDAE,1.00,1
fam_OTARIIDAE,1.00,1
fam_PHOCIDAE,1.00,1
fam_PITHECIIDAE,1.00,1
fam_PROCYONIDAE,1.00,1
fam_RHINOCEROTIDAE,1.00,1
fam_SCIURIDAE,1.00,1
fam_SORICIDAE,1.00,1
fam_SPALACIDAE,1.00,1
fam_SUIDAE,1.00,1
fam_TALPIDAE,1.00,1
fam_URSIDAE,1.00,1
fam_VIVERRIDAE,1.00,1
fam_ZIPHIIDAE,1.00,1
Note: Variables are presented as given in their original sources.,,
