,treename,pred_pcr,pred_comp,PCR,competence,type,studies,ord,cat
1,Abditomys,0.145249501,0.10785843,0,0,other,0,RODENTIA,unsampled
2,Abeomelomys,0.203648448,0.160278017,0,0,other,0,RODENTIA,unsampled
3,Abrawayaomys,0.099036969,0.097383533,0,0,other,0,RODENTIA,unsampled
4,Abrocoma,0.189082407,0.129235317,0,0,other,0,RODENTIA,unsampled
5,Abrothrix,0.280134874,0.23675881,0,0,other,0,RODENTIA,unsampled
6,Acinonyx,0.657460531,0.652624401,1,1,other,13,CARNIVORA,positive
7,Acomys,0.180570961,0.128521233,0,0,other,0,RODENTIA,unsampled
8,Aconaemys,0.185015577,0.094934302,0,0,other,0,RODENTIA,unsampled
9,Addax,0.170503475,0.098224959,0,0,other,0,CETARTIODACTYLA,unsampled
10,Aegialomys,0.333315198,0.24254318,0,0,other,0,RODENTIA,unsampled
11,Aepeomys,0.185053,0.108059593,0,0,other,0,RODENTIA,unsampled
12,Aepyceros,0.196637208,0.110011388,0,0,other,0,CETARTIODACTYLA,unsampled
13,Aeretes,0.182236584,0.133224906,0,0,other,0,RODENTIA,unsampled
14,Aeromys,0.229661812,0.186189314,0,0,other,0,RODENTIA,unsampled
15,Aethomys,0.1375556,0.140956985,0,0,other,0,RODENTIA,unsampled
16,Ailuropoda,0.270463489,0.154832601,0,0,other,0,CARNIVORA,unsampled
17,Ailurus,0.27809241,0.204083375,1,1,other,3,CARNIVORA,positive
18,Akodon,0.286673323,0.160889542,0,0,other,0,RODENTIA,unsampled
19,Alcelaphus,0.145498843,0.07557966,0,0,other,0,CETARTIODACTYLA,unsampled
20,Alces,0.272528498,0.265538207,0,0,other,0,CETARTIODACTYLA,unsampled
21,Allactaga,0.235685177,0.263240154,0,0,other,0,RODENTIA,unsampled
22,Allactodipus,0.124242558,0.162794564,0,0,other,0,RODENTIA,unsampled
23,Allenopithecus,0.21629708,0.08603658,0,0,other,0,PRIMATES,unsampled
24,Allocebus,0.132753751,0.089876309,0,0,other,0,PRIMATES,unsampled
25,Allocricetulus,0.123148033,0.137499936,0,0,other,0,RODENTIA,unsampled
26,Alouatta,0.433145532,0.253745759,1,1,other,6,PRIMATES,positive
27,Alticola,0.377792802,0.244468589,0,0,other,0,RODENTIA,unsampled
28,Ammodillus,0.114908499,0.09489595,0,0,other,0,RODENTIA,unsampled
29,Ammodorcas,0.20565158,0.089091425,0,0,other,0,CETARTIODACTYLA,unsampled
30,Ammospermophilus,0.252247499,0.262883668,0,0,other,0,RODENTIA,unsampled
31,Ammotragus,0.198946933,0.071208853,0,0,other,0,CETARTIODACTYLA,unsampled
32,Amphinectomys,0.234031306,0.210065652,0,0,other,0,RODENTIA,unsampled
33,Andalgalomys,0.240793728,0.185810445,0,0,other,0,RODENTIA,unsampled
34,Andinomys,0.196314997,0.132809521,0,0,other,0,RODENTIA,unsampled
35,Anisomys,0.205353089,0.148766846,0,0,other,0,RODENTIA,unsampled
36,Anomalurus,0.113259488,0.074381058,0,0,other,0,RODENTIA,unsampled
37,Anonymomys,0.176506764,0.12896348,0,0,other,0,RODENTIA,unsampled
38,Anotomys,0.236404572,0.068024245,0,0,other,0,RODENTIA,unsampled
39,Anourosorex,0.298175767,0.148207523,0,0,other,0,EULIPOTYPHLA,unsampled
40,Antidorcas,0.198687999,0.080839785,0,0,other,0,CETARTIODACTYLA,unsampled
41,Antilocapra,0.167359118,0.070719038,0,0,other,0,CETARTIODACTYLA,unsampled
42,Antilope,0.201737917,0.096472558,0,0,other,0,CETARTIODACTYLA,unsampled
43,Aonyx,0.315884188,0.217893251,0,0,other,0,CARNIVORA,unsampled
44,Aotus,0.285687503,0.206582463,0,0,other,0,PRIMATES,unsampled
45,Aplodontia,0.144208059,0.08669714,0,0,other,0,RODENTIA,unsampled
46,Apodemus,0.453318052,0.507927009,1,1,other,32,RODENTIA,positive
47,Apomys,0.234398075,0.21180292,0,0,other,0,RODENTIA,unsampled
48,Arabitragus,0.243704045,0.110373296,0,0,other,0,CETARTIODACTYLA,unsampled
49,Arborimus,0.258697742,0.168668676,0,0,other,0,RODENTIA,unsampled
50,Archaeolemur,0.195155521,0.09856848,0,0,other,0,PRIMATES,unsampled
51,Archboldomys,0.247452182,0.15725933,0,0,other,0,RODENTIA,unsampled
52,Arctictis,0.297097457,0.153590294,0,0,other,0,CARNIVORA,unsampled
53,Arctocebus,0.112803387,0.0790983,0,0,other,0,PRIMATES,unsampled
54,Arctocephalus,0.251369521,0.042623052,0,0,other,0,CARNIVORA,unsampled
55,Arctodus,0.268850008,0.17195369,0,0,other,0,CARNIVORA,unsampled
56,Arctogalidia,0.273958312,0.236812485,0,0,other,0,CARNIVORA,unsampled
57,Arctonyx,0.24327454,0.10092715,0,0,other,0,CARNIVORA,unsampled
58,Arvicanthis,0.195167996,0.132322457,0,0,other,0,RODENTIA,unsampled
59,Arvicola,0.206205326,0.205464874,0,0,other,0,RODENTIA,unsampled
60,Atelerix,0.177737999,0.179629427,0,0,other,0,EULIPOTYPHLA,unsampled
61,Ateles,0.353844219,0.148916169,0,0,other,0,PRIMATES,unsampled
62,Atelocynus,0.280958997,0.159789538,0,0,other,0,CARNIVORA,unsampled
63,Atherurus,0.170200219,0.116097676,0,0,other,0,RODENTIA,unsampled
64,Atilax,0.227270284,0.111203474,0,0,other,0,CARNIVORA,unsampled
65,Atlantoxerus,0.10711622,0.081385133,0,0,other,0,RODENTIA,unsampled
66,Auliscomys,0.337557221,0.22686844,0,0,other,0,RODENTIA,unsampled
67,Avahi,0.18687944,0.116396132,0,0,other,0,PRIMATES,unsampled
68,Axis,0.20487247,0.103086236,0,0,other,0,CETARTIODACTYLA,unsampled
69,Babyrousa,0.168927249,0.101583288,0,0,other,0,CETARTIODACTYLA,unsampled
70,Baiomys,0.359785726,0.146757085,0,0,other,0,RODENTIA,unsampled
71,Baiyankamys,0.204670785,0.101883725,0,0,other,0,RODENTIA,unsampled
72,Balaena,0.515614481,0.032428835,1,0,other,1,CETARTIODACTYLA,positive
73,Balaenoptera,0.372524921,0.034322704,0,0,other,0,CETARTIODACTYLA,unsampled
74,Bandicota,0.246722208,0.19844998,0,0,other,0,RODENTIA,unsampled
75,Bassaricyon,0.226010577,0.144933505,0,0,other,0,CARNIVORA,unsampled
76,Bassariscus,0.197927223,0.119502648,0,0,other,0,CARNIVORA,unsampled
77,Bathyergus,0.119441904,0.083292227,0,0,other,0,RODENTIA,unsampled
78,Batomys,0.208526088,0.209095762,0,0,other,0,RODENTIA,unsampled
79,Bdeogale,0.304104677,0.103972814,0,0,other,0,CARNIVORA,unsampled
80,Beamys,0.264111643,0.186323773,0,0,other,0,RODENTIA,unsampled
81,Beatragus,0.173225026,0.070941682,0,0,other,0,CETARTIODACTYLA,unsampled
82,Belomys,0.213990298,0.171531149,0,0,other,0,RODENTIA,unsampled
83,Berardius,0.360734159,0.031947978,0,0,other,0,CETARTIODACTYLA,unsampled
